1023 0 1 0 0 0 7101 1 0.5
10 0.33 0.33 0.33 1 10
0 0.7 0.1
0.3 0.35 0.05 -0.18
43200 0 0 1 0.00000000000028377127
43200 0 0.1 1 0.00000000000028377127
43200 1 0 1 0.00000000000028377127
43200 1 0.1 1 0.00000000000028377127
46800.0000004191 0 0 1 0.00000000000028512927
46800.0000004191 0 0.1 1 0.00000000000028512927
46800.0000004191 1 0 1 0.00000000000028512927
46800.0000004191 1 0.1 1 0.00000000000028512927
50400.0000002096 0 0 1 0.00000000000013099252
50400.0000002096 0 0.1 1 0.00000000000013099252
50400.0000002096 1 0 1 0.00000000000013099252
50400.0000002096 1 0.1 1 0.00000000000013099252
54000 0 0 1 0.00000000000025903118
54000 0 0.1 1 0.00000000000025903118
54000 1 0 1 0.00000000000025903118
54000 1 0.1 1 0.00000000000025903118
57600.0000004191 0 0 1 0.00000000040468361842
57600.0000004191 0 0.1 1 0.00000000040468361842
57600.0000004191 1 0 1 0.00000000040468361842
57600.0000004191 1 0.1 1 0.00000000040468361842
61200.0000002096 0 0 1 0.00000000329319656891
61200.0000002096 0 0.1 1 0.00000000329319656891
61200.0000002096 1 0 1 0.00000000329319656891
61200.0000002096 1 0.1 1 0.00000000329319656891
64800 0 0 1 0.00000002123482262964
64800 0 0.1 1 0.00000002123482262964
64800 1 0 1 0.00000002123482262964
64800 1 0.1 1 0.00000002123482262964
68400.0000004191 0 0 1 0.00000003899662459821
68400.0000004191 0 0.1 1 0.00000003899662459821
68400.0000004191 1 0 1 0.00000003899662459821
68400.0000004191 1 0.1 1 0.00000003899662459821
72000.0000002096 0 0 1 0.00000005769616169231
72000.0000002096 0 0.1 1 0.00000005769616169231
72000.0000002096 1 0 1 0.00000005769616169231
72000.0000002096 1 0.1 1 0.00000005769616169231
75600 0 0 1 0.00000007308560822115
75600 0 0.1 1 0.00000007308560822115
75600 1 0 1 0.00000007308560822115
75600 1 0.1 1 0.00000007308560822115
79200.0000004191 0 0 1 0.00000008376130436851
79200.0000004191 0 0.1 1 0.00000008376130436851
79200.0000004191 1 0 1 0.00000008376130436851
79200.0000004191 1 0.1 1 0.00000008376130436851
82800.0000002096 0 0 1 0.00000008778853420115
82800.0000002096 0 0.1 1 0.00000008778853420115
82800.0000002096 1 0 1 0.00000008778853420115
82800.0000002096 1 0.1 1 0.00000008778853420115
86400 0 0 1 0.00000008623609603272
86400 0 0.1 1 0.00000008623609603272
86400 1 0 1 0.00000008623609603272
86400 1 0.1 1 0.00000008623609603272
90000.0000004191 0 0 1 0.00000007794299522595
90000.0000004191 0 0.1 1 0.00000007794299522595
90000.0000004191 1 0 1 0.00000007794299522595
90000.0000004191 1 0.1 1 0.00000007794299522595
93600.0000002096 0 0 1 0.0000000187323664721
93600.0000002096 0 0.1 1 0.0000000187323664721
93600.0000002096 1 0 1 0.0000000187323664721
93600.0000002096 1 0.1 1 0.0000000187323664721
97200 0 0 1 0.0000000297381437978
97200 0 0.1 1 0.0000000297381437978
97200 1 0 1 0.0000000297381437978
97200 1 0.1 1 0.0000000297381437978
100800.000000419 0 0 1 0.00000004174675429877
100800.000000419 0 0.1 1 0.00000004174675429877
