2.98857e-06 0.241904 0.0751649 0.0684699 68.6064 78.9408 0.795867 6.63118
0 1371 6
0.35 0.232488 0.35 0.233065
0.35 0.233065 0.35 0.233643
0.35 0.233643 0.35 0.23422
0.35 0.23422 0.35 0.234797
0.35 0.234797 0.35 0.235375
0.35 0.235375 0.35 0.235952
0.35 0.235952 0.35 0.23653
0.35 0.23653 0.35 0.237108
0.35 0.237108 0.35 0.237686
0.35 0.237686 0.35 0.238265
0.35 0.238265 0.35 0.238843
0.35 0.238843 0.35 0.239422
0.35 0.239422 0.35 0.24
0.35 0.24 0.35 0.240604
0.35 0.240604 0.35 0.241209
0.35 0.241209 0.35 0.241813
0.35 0.241813 0.35 0.242417
0.35 0.242417 0.35 0.243021
0.35 0.243021 0.35 0.243625
0.35 0.243625 0.35 0.24423
0.35 0.24423 0.35 0.244834
0.35 0.244834 0.35 0.245439
0.35 0.245439 0.35 0.246043
0.35 0.246043 0.35 0.246648
0.35 0.246648 0.35 0.247252
0.35 0.247252 0.35 0.247857
0.35 0.247857 0.35 0.248461
0.35 0.248461 0.35 0.249066
0.35 0.249066 0.35 0.24967
0.35 0.24967 0.35 0.250275
0.35 0.250275 0.35 0.25088
0.35 0.25088 0.35 0.251484
0.35 0.251484 0.35 0.252089
0.35 0.252089 0.35 0.252694
0.35 0.252694 0.35 0.253299
0.35 0.253299 0.35 0.253903
0.35 0.253903 0.35 0.254508
0.35 0.254508 0.35 0.255113
0.35 0.255113 0.35 0.255718
0.35 0.255718 0.35 0.256323
0.35 0.256323 0.35 0.256928
0.35 0.256928 0.35 0.257532
0.35 0.257532 0.35 0.258137
0.35 0.258137 0.35 0.258742
0.35 0.258742 0.35 0.259347
0.35 0.259347 0.35 0.259952
0.35 0.259952 0.35 0.260557
0.35 0.260557 0.35 0.261158
0.35 0.261158 0.35 0.261759
0.35 0.261759 0.35 0.26236
0.35 0.26236 0.35 0.262961
0.35 0.262961 0.35 0.263562
0.35 0.263562 0.35 0.264163
0.35 0.264163 0.35 0.264765
0.35 0.264765 0.35 0.265366
0.35 0.265366 0.35 0.265967
0.35 0.265967 0.35 0.266568
0.35 0.266568 0.35 0.267169
0.35 0.267169 0.35 0.26777
0.35 0.26777 0.35 0.268371
0.35 0.268371 0.35 0.268972
0.35 0.268972 0.35 0.269574
0.35 0.269574 0.35 0.270175
0.35 0.270175 0.35 0.270776
0.35 0.270776 0.35 0.271377
0.35 0.271377 0.35 0.271978
0.35 0.271978 0.35 0.272579
0.35 0.272579 0.35 0.27318
0.35 0.27318 0.35 0.273781
0.35 0.273781 0.35 0.274382
0.35 0.274382 0.35 0.274984
0.35 0.274984 0.35 0.275585
0.35 0.275585 0.35 0.276186
0.35 0.276186 0.35 0.276787
0.35 0.276787 0.35 0.277388
0.35 0.277388 0.35 0.277989
0.35 0.277989 0.35 0.27859
0.35 0.27859 0.35 0.27919
0.35 0.27919 0.35 0.279791
0.35 0.279791 0.35 0.280392
0.35 0.280392 0.35 0.280993
0.35 0.280993 0.35 0.281594
0.35 0.281594 0.35 0.282195
0.35 0.282195 0.35 0.282795
0.35 0.282795 0.35 0.283396
0.35 0.283396 0.35 0.283997
0.35 0.283997 0.35 0.284597
0.35 0.284597 0.35 0.285198
0.35 0.285198 0.35 0.285799
0.35 0.285799 0.35 0.2864
